name,address,permaculture,water,appropriate_tech,description_short,description_long,amenities,phone,url,public_access,latitude,longitude
West Town Bikes,"2459 W Division Street, Chicago, IL",0,,1,,"The over-arching goals of West Town Bikes are to promote bicycling in the city of Chicago, to educate youth with a focus on under-served populations, and to foster and serve Chicago's growing bicycling community. While maintaining headquarters and a workspace in Chicago's Humboldt Park neighborhood, WTB is a city-wide service provider for youth programs in the city of Chicago.
",,(773) 772-6523,http://westtownbikes.org/,,41.902991,-87.688774
Blackstone Bicycle Works,"6100 S Blackstone Ave  Chicago, IL 60637",0,,1,,"Blackstone Bicycle Works is a youth education program of the Experimental Station. In the context of a full-service bike shop dedicated to promoting ecological practices and empowering youth, Blackstone teaches mechanical skills, job skills, and business literacy to boys and girls from the underserved Woodlawn neighborhood and Chicago's broader south side.
",,(773) 241-5458,http://www.experimentalstation.org/blackstone-bikes,,41.78411,-87.5903
The Bike Stable,"2529 W Michigan Avenue Kalamazoo, MI 49008",0,,1,,"The Bike Stable is the Office for Sustainability’s clearinghouse for non- motorized transportation education, advocacy, and policy efforts. It leads workshops, group rides, guided tours, weekly open shop nights, and research. Open shop nights provide students, staff, and community members the opportunity to gain hands-on experience fixing their own bikes under the guidance of peer mechanics. The service is free for all, but attendees are required to bring their own parts (with the exception of incidentals such as cables and housing, which can be purchased at The Bike Stable). ",,,http://wmich.edu/sustainability/projects/bike-stable/open-shop-night,,42.281968,-85.620437
Trybal Revival ,"1511 E Michigan Ave Kalamazoo, MI 49048",1,,0,,"4 lots acquired from the County Land Bank which were formerly residential but the homes were demo-ed leaving a large vacant lot along a high-visibility route in the city.  The propery is  south-sloping with mostly turf grass and a mix of desirable and not-so desitrable brush and trees along two pirimiter sides. We will be replacing the existing grass with permaculture plantings that will include orchard trees, berries and community garden space.

The property is located on a high-traffic gateway to the city in a culturally and economically mixed neighborhood. Our aim is to create attractive greenspace in the neighborhood on which we can model and teach the concepts of sustainability and the interconnected web of life.",,269-349-3103 ,http://trybalrevivalgarden.com/index.html,,42.293451,-85.560897
Permaculture and Resilience Initiative - Detroit ,"8910 Isham Ave Detroit, MI 48213   ",1,,0,,"Organization for Urban-focused Permaculture Design Courses
Resilience/Sustainability Workshops
Permaculture Design and Consulting for gardens, homes, businesses, organizations. 

Encourage the adoption of green technology, particularly lo-tech solutions we and our neighbors can implement ourselves using recycled and repurposed materials. It is an attempt to encourage the deveopment of a sustainable, self-reliant neighborhood within a sustainable, resilient, self-reliant urban area. 
",,,,,42.394893,-83.011036
Chicagoland Permaculture Guild ,"1645 W Jarvis Ave Chicago, IL 60626   ",1,,0,,"Organization seeking to assist in the spread of permaculture and regenerative community in and beyond the Chicago area through community projects, social events, courses and workshops.",,,http://www.chicagolandpermacultureguild.com/,,42.01596,-87.67205
Perth City Farm," 1 City Farm Pl, East Perth WA 6004, Australia   ",1,,0,,"City Farm is an organic community garden, education and network centre that operates on permaculture principles. We promote healthy urban environments that are productive and diverse.
Before becoming an organic permaculture centre, the site was used as a scrap metal yard and a battery recycling plant. City Farm has transformed the site in order to demonstrate how heavily degraded land can be rehabilitated.

City Farm promotes environmental awareness and responsible practices by providing information, training and hosting community-based projects. With our parent body, Men of the Trees, we facilitate tree-planting trips around the State and hold public demonstrations for events and festivals.

City Farm also supports the local music and art community through regular concerts, festivals and exhibitions. City Farm facilitates government employment and service programs, permaculture tours and workshops for Primary and high school students.",,08 9325 7229 ,http://perthcityfarm.org.au/,,47.124409,-120.676003
Offshoots Permaculture Project ,"Towneley Hall Art Gallery and Museum, Towneley Park, off Todmorden Rd, Burnley, Lancashire BB11 3RQ",1,,0,,"Offers Permaculture Design Certificate training, organic food production, eco construction, community composting, woodland management, timber harvesting and processing for construction material, traditional skills training, honey production

Provides a learning environment for local people promoting sustainable practices using Permaculture principles through delivering constitutional objectives. 

Offshoots works with schools, visitors and volunteers of all ages abilities, backgrounds and ethnicity. ",,01282 450270,http://www.offshoots.org.uk/,,53.77384,-2.22203
The Permafecture ,"7 rue de Lausanne, Sion, Valais, Switzerland",1,,0,The prefecture will become Permafecture,"The project ""The Permafecture"" is a place of management, administration and promotion of Permaculture in Valais and the other cantons of Switzerland.",,+41(0)787795784,http://www.permacultureglobal.com/projects/885-the-permafecture,,30.072701,-81.651527
"Seattle Beacon Food Forest
Project","3832-3906 15th Ave S, Seattle, WA 98108",1,,0,,"Proposed urban food forest location for Seattle, WA.",,,http://beaconfoodforest.org/,,47.56868,-122.31310
